brand,material,materialSubType,color,colorHex,density,skuWithSpool,upcWithSpool,msrpWithSpool,skuRefill,upcRefill,msrpRefill,purchaseSize,normallyStock,userComments
Bambu Lab,PLA,Basic,Jade White,#FFFFFF,1.24,,,22.99,,,19.99,1000,TRUE,
Bambu Lab,PLA,Basic,Beige,#F7E6DE,1.24,,,0.0,,,19.99,1000,FALSE,
Bambu Lab,PLA,Basic,Yellow,#F4EE2A,1.24,,,0.0,,,19.99,1000,FALSE,
Bambu Lab,PLA,Basic,Sunflower Yellow,#FEC600,1.24,,,22.99,,,0.0,1000,FALSE,
Bambu Lab,PLA,Basic,Pumpkin Orange,#FF9016,1.24,,,22.99,,,0.0,1000,FALSE,
Bambu Lab,PLA,Basic,Orange,#FF6A13,1.24,,,0.0,,,19.99,1000,FALSE,
Bambu Lab,PLA,Basic,Gold,#E4BD68,1.24,,,0.0,,,19.99,1000,FALSE,
Bambu Lab,PLA,Basic,Bright Green,#BECF00,1.24,,,0.0,,,19.99,1000,FALSE,
Bambu Lab,PLA,Basic,Bambu Green,#00AE42,1.24,,,22.99,,,0.0,1000,FALSE,
Bambu Lab,PLA,Basic,Mistletoe Green,#3F8E43,1.24,,,22.99,,,0.0,1000,FALSE,
Bambu Lab,PLA,Basic,Pink,#F55A74,1.24,,,0.0,,,19.99,1000,FALSE,
Bambu Lab,PLA,Basic,Hot Pink,#F5547C,1.24,,,22.99,,,0.0,1000,FALSE,
Bambu Lab,PLA,Basic,Magenta,#EC008C,1.24,,,0.0,,,19.99,1000,FALSE,
Bambu Lab,PLA,Basic,Red,#C12E1F,1.24,,,22.99,,,0.0,1000,FALSE,
Bambu Lab,PLA,Basic,Maroon Red,#9D2235,1.24,,,0.0,,,19.99,1000,FALSE,
Bambu Lab,PLA,Basic,Purple,#5E43B7,1.24,,,0.0,,,19.99,1000,FALSE,
Bambu Lab,PLA,Basic,Indigo Purple,#482960,1.24,,,22.99,,,0.0,1000,FALSE,
Bambu Lab,PLA,Basic,Turquoise,#00B1B7,1.24,,,0.0,,,19.99,1000,FALSE,
Bambu Lab,PLA,Basic,Cyan,#0086D6,1.24,,,22.99,,,0.0,1000,FALSE,
Bambu Lab,PLA,Basic,Cobalt Blue,#0056B8,1.24,,,0.0,,,19.99,1000,TRUE,
Bambu Lab,PLA,Basic,Blue,#0A2989,1.24,,,22.99,,,0.0,1000,FALSE,
Bambu Lab,PLA,Basic,Brown,#9D432C,1.24,,,0.0,,,19.99,1000,FALSE,
Bambu Lab,PLA,Basic,Cocoa Brown,#6F5034,1.24,,,22.99,,,0.0,1000,FALSE,
Bambu Lab,PLA,Basic,Bronze,#847D48,1.24,,,0.0,,,19.99,1000,FALSE,
Bambu Lab,PLA,Basic,Blue Grey,#5B6579,1.24,,,0.0,,,19.99,1000,FALSE,
Bambu Lab,PLA,Basic,Light Gray,#D1D3D5,1.24,,,0.0,,,19.99,1000,TRUE,
Bambu Lab,PLA,Basic,Silver,#A6A9AA,1.24,,,0.0,,,19.99,1000,TRUE,
Bambu Lab,PLA,Basic,Gray,#8E9089,1.24,,,22.99,,,0.0,1000,FALSE,
Bambu Lab,PLA,Basic,Dark Gray,#545454,1.24,,,0.0,,,19.99,1000,FALSE,
Bambu Lab,PLA,Basic,Black,#000000,1.24,,,22.99,,,19.99,1000,TRUE,
Bambu Lab,PLA,Matte,Ivory White,#FFFFFF,1.24,,,22.99,,,0.0,1000,TRUE,
Bambu Lab,PLA,Matte,Bone White,#CBC6B8,1.24,,,0.0,,,19.99,1000,FALSE,
Bambu Lab,PLA,Matte,Lemon Yellow,#F7D959,1.24,,,0.0,,,19.99,1000,FALSE,
Bambu Lab,PLA,Matte,Mandarin Orange,#F99963,1.24,,,22.99,,,0.0,1000,FALSE,
Bambu Lab,PLA,Matte,Sakura Pink,#E8AFCF,1.24,,,0.0,,,19.99,1000,FALSE,
Bambu Lab,PLA,Matte,Lilac Purple,#AE96D4,1.24,,,0.0,,,19.99,1000,FALSE,
Bambu Lab,PLA,Matte,Plum,#950051,1.24,,,0.0,,,19.99,1000,FALSE,
Bambu Lab,PLA,Matte,Scarlet Red,#DE4343,1.24,,,22.99,,,0.0,1000,FALSE,
Bambu Lab,PLA,Matte,Dark Red,#BB3D43,1.24,,,0.0,,,19.99,1000,FALSE,
Bambu Lab,PLA,Matte,Apple Green,#C2E189,1.24,,,0.0,,,19.99,1000,FALSE,
Bambu Lab,PLA,Matte,Grass Green,#61C680,1.24,,,0.0,,,19.99,1000,FALSE,
Bambu Lab,PLA,Matte,Dark Green,#68724D,1.24,,,0.0,,,19.99,1000,FALSE,
Bambu Lab,PLA,Matte,Ice Blue,#A3D8E1,1.24,,,0.0,,,19.99,1000,FALSE,
Bambu Lab,PLA,Matte,Sky Blue,#56B7E6,1.24,,,0.0,,,19.99,1000,FALSE,
Bambu Lab,PLA,Matte,Marine Blue,#0078BF,1.24,,,22.99,,,0.0,1000,FALSE,
Bambu Lab,PLA,Matte,Dark Blue,#042F56,1.24,,,0.0,,,19.99,1000,FALSE,
Bambu Lab,PLA,Matte,Desert Tan,#E8DBB7,1.24,,,0.0,,,19.99,1000,FALSE,
Bambu Lab,PLA,Matte,Latte Brown,#D3B7A7,1.24,,,0.0,,,19.99,1000,FALSE,
Bambu Lab,PLA,Matte,Caramel,#AE835B,1.24,,,0.0,,,19.99,1000,FALSE,
Bambu Lab,PLA,Matte,Terracotta,#B15533,1.24,,,0.0,,,19.99,1000,FALSE,
